county_name,poverty_rate,diabetes_rate,obesity_rate,uninsured_rate,composite_risk_score
Humphreys,56.5,24.7,52.4,15.5,0.9822
Jefferson,50.6,23.6,51.5,11.3,0.8739
Holmes,50.3,23.3,50.7,12.1,0.8894
Coahoma,49.3,21.8,46.4,13.4,0.7901
Sharkey,49.1,25.2,50.3,20.3,0.9599
Claiborne,49.0,20.4,47.8,19.5,0.6904
Leflore,48.8,20.9,43.4,14.4,0.7034
Tunica,48.7,21.4,51.0,13.1,0.8121
Quitman,47.8,22.8,51.2,15.8,0.8649
Bolivar,47.1,20.5,46.5,14.6,0.7447
Washington,43.2,21.0,44.2,13.4,0.7651
Montgomery,42.9,19.6,43.5,9.7,0.6528
Yazoo,42.0,18.5,50.5,13.7,0.7468
Sunflower,41.8,19.3,48.6,11.6,0.7022
Adams,41.5,20.6,41.2,12.7,0.659
Wilkinson,41.3,20.6,47.4,9.8,0.6633
Pike,40.8,18.9,46.0,12.7,0.673
Scott,40.7,18.3,43.4,13.3,0.5832
Neshoba,40.5,16.5,43.1,12.7,0.5189
Tallahatchie,40.0,18.9,44.9,15.9,0.6547
Oktibbeha,39.8,10.9,34.5,7.9,0.063
Marion,39.5,17.2,43.5,15.7,0.5586
Lawrence,39.0,18.8,46.3,13.9,0.6423
Amite,38.0,20.6,45.0,11.4,0.6395
Franklin,37.9,18.5,40.4,10.9,0.4454
Jefferson Davis,37.7,21.8,45.4,12.7,0.6984
Noxubee,37.2,21.2,46.4,18.7,0.7592
Panola,37.1,18.4,46.3,13.6,0.5971
Clay,36.7,19.1,47.6,11.5,0.6108
Attala,36.4,16.9,42.6,9.9,0.5392
Carroll,36.1,18.6,40.0,7.5,0.4626
Lauderdale,36.1,16.7,42.1,9.9,0.5152
Chickasaw,35.5,18.4,43.3,10.6,0.5973
Copiah,35.4,18.2,41.8,14.4,0.4947
Perry,35.2,16.2,43.7,14.1,0.4378
Winston,35.2,19.5,41.7,11.0,0.5361
Yalobusha,35.2,19.0,40.1,13.2,0.4924
Covington,35.1,15.6,40.4,9.9,0.3637
Wayne,35.1,17.8,44.2,18.2,0.5819
Forrest,34.9,13.1,35.8,11.4,0.2738
Grenada,34.9,17.6,46.1,12.8,0.5375
Leake,34.6,17.0,42.8,15.9,0.5593
Walthall,34.6,17.8,43.1,10.4,0.5504
Calhoun,34.4,18.2,41.1,11.5,0.5465
Newton,34.4,15.7,40.9,14.3,0.3362
Hinds,33.6,17.0,44.0,12.5,0.5155
Tippah,33.6,15.3,43.3,14.2,0.4632
Issaquena,33.5,16.4,45.3,12.8,0.59
Kemper,33.1,18.4,43.7,14.8,0.6292
Tishomingo,32.8,15.0,39.5,12.0,0.3617
George,32.7,13.1,37.2,13.6,0.2596
Marshall,32.6,18.5,41.9,11.6,0.5266
Jasper,32.4,19.0,44.9,11.3,0.4833
Jones,32.3,16.0,41.6,11.0,0.3852
Alcorn,32.2,15.0,40.0,13.6,0.4191
Clarke,32.1,17.8,38.6,14.0,0.4529
Smith,32.1,16.9,43.6,15.0,0.4836
Lafayette,31.5,10.9,34.4,9.1,0.0114
Choctaw,31.4,16.9,40.2,12.4,0.3836
Prentiss,31.2,13.9,40.5,8.8,0.2587
Lincoln,30.9,15.7,40.5,13.9,0.3164
Benton,30.7,17.4,42.4,13.8,0.4853
Stone,30.5,14.0,41.0,12.5,0.3395
Monroe,30.3,16.7,42.9,10.5,0.3819
Lowndes,29.5,15.5,37.5,10.6,0.2899
Tate,28.3,14.2,36.1,12.9,0.2998
Pontotoc,28.1,13.8,38.9,12.0,0.2458
Greene,27.8,14.0,41.9,14.1,0.3622
Simpson,27.8,16.2,40.2,12.7,0.3781
Harrison,27.5,14.1,36.5,14.1,0.3177
Union,27.0,14.1,41.6,10.1,0.3201
Warren,26.7,16.2,43.8,11.2,0.4163
Pearl River,26.3,14.4,38.0,13.1,0.2559
Jackson,25.4,15.0,40.7,12.9,0.349
Hancock,24.3,14.3,37.3,10.3,0.2161
Lamar,24.1,12.4,38.7,12.7,0.1654
Webster,24.0,13.7,36.5,13.5,0.2074
Itawamba,21.8,12.2,36.2,10.5,0.1229
Lee,21.8,13.9,36.4,11.2,0.237
DeSoto,17.1,12.4,37.3,8.9,0.1277
Madison,16.6,12.4,36.3,7.4,0.1107
Rankin,15.7,12.1,36.6,9.3,0.1107
